Date / Time,CPU Usage %,Teperature C
2018-12-08 13:03:53,4.6,52.1
2018-12-08 13:03:56,7,52.1
2018-12-08 13:04:00,4.2,51.5
2018-12-08 13:04:03,1.7,52.1
2018-12-08 13:04:07,10.7,51.5
2018-12-08 13:04:10,4,52.1
2018-12-08 13:04:14,5.7,52.6
2018-12-08 13:04:17,1.5,51.5
2018-12-08 13:04:21,10.5,52.1
2018-12-08 13:04:24,2.3,52.1
2018-12-08 13:04:27,7,52.6
2018-12-08 13:04:31,2,51.5
2018-12-08 13:04:35,8.5,52.1
2018-12-08 13:04:39,1.7,52.1
2018-12-08 13:04:42,5.6,52.1
2018-12-08 13:04:46,8.7,51.5
2018-12-08 13:04:50,5.5,51.5
2018-12-08 13:04:53,2.3,52.1
2018-12-08 13:04:56,3.8,51.5
2018-12-08 13:05:00,7.6,52.1
2018-12-08 13:05:03,3.9,52.1
2018-12-08 13:05:07,6.3,52.6
2018-12-08 13:05:10,3.5,52.1
2018-12-08 13:05:14,9.4,52.1
2018-12-08 13:05:17,1.6,52.1
2018-12-08 13:05:21,5.3,52.1
2018-12-08 13:05:24,8.1,52.6
2018-12-08 13:05:28,6.5,51.5
2018-12-08 13:05:31,5.2,51.5
2018-12-08 13:05:35,5,52.1
2018-12-08 13:05:38,9.8,52.1
2018-12-08 13:05:41,6.2,52.6
2018-12-08 13:05:45,1.9,51.5
2018-12-08 13:05:48,8.3,52.1
2018-12-08 13:05:52,5.9,52.1
2018-12-08 13:05:55,4.4,52.6
2018-12-08 13:05:59,1.5,52.1
2018-12-08 13:06:03,7.6,52.6
2018-12-08 13:06:06,4.4,52.6
2018-12-08 13:06:09,6.6,52.1
2018-12-08 13:06:13,2.8,51.5
2018-12-08 13:06:16,8.9,52.6
2018-12-08 13:06:20,4.4,52.6
2018-12-08 13:06:24,1.7,52.6
2018-12-08 13:06:27,8.3,52.6
2018-12-08 13:06:31,5.9,52.1
2018-12-08 13:06:35,7,52.6
2018-12-08 13:06:38,3.4,52.6
2018-12-08 13:06:42,7.8,52.6
2018-12-08 13:06:46,1.8,52.6
2018-12-08 13:06:49,8.9,52.6
2018-12-08 13:06:53,5.5,52.1
2018-12-08 13:06:56,8.9,52.6
2018-12-08 13:07:00,2.4,52.6
2018-12-08 13:07:03,5.3,52.1
2018-12-08 13:07:07,6.1,52.6
2018-12-08 13:07:10,4,52.6
2018-12-08 13:07:14,6,52.1
2018-12-08 13:07:17,1.9,52.1
2018-12-08 13:07:21,9,52.6
2018-12-08 13:07:24,1.8,52.1
2018-12-08 13:07:28,6.4,52.1
2018-12-08 13:07:32,4.2,52.6
2018-12-08 13:07:35,8.2,52.6
2018-12-08 13:07:39,3.5,52.6
2018-12-08 13:07:42,7,52.1
2018-12-08 13:07:46,7.4,52.6
2018-12-08 13:07:49,6.6,52.6
2018-12-08 13:07:53,2.4,52.1
2018-12-08 13:07:56,7,51.5
2018-12-08 13:08:00,7.9,52.6
2018-12-08 13:08:04,2.4,52.1
2018-12-08 13:08:08,8,52.6
2018-12-08 13:08:11,6.9,52.1
2018-12-08 13:08:14,6.9,52.6
2018-12-08 13:08:18,2.2,52.6
2018-12-08 13:08:21,5.1,52.6
2018-12-08 13:08:25,6.6,52.1
2018-12-08 13:08:28,5.6,52.6
2018-12-08 13:08:32,3.6,52.1
2018-12-08 13:08:35,8.4,52.6
2018-12-08 13:08:38,4.9,52.1
2018-12-08 13:08:42,7.6,52.6
2018-12-08 13:08:45,3.6,52.6
2018-12-08 13:08:49,8.6,52.6
2018-12-08 13:08:53,2.6,52.6
2018-12-08 13:08:56,8.3,52.6
2018-12-08 13:09:00,3.3,52.6
2018-12-08 13:09:03,15.5,52.6
2018-12-08 13:09:06,2.2,52.6
2018-12-08 13:09:10,5.7,52.6
2018-12-08 13:09:14,3.7,52.1
2018-12-08 13:09:17,6.8,52.6
2018-12-08 13:09:21,3.6,52.6
2018-12-08 13:09:24,5.8,52.6
2018-12-08 13:09:28,7.9,53.2
2018-12-08 13:09:31,4.1,52.6
2018-12-08 13:09:34,5.6,52.6
2018-12-08 13:09:38,2.4,52.1
2018-12-08 13:09:41,8.3,52.6
2018-12-08 13:09:45,3.2,53.2
2018-12-08 13:09:48,7.3,52.6
2018-12-08 13:09:52,3.1,52.6
2018-12-08 13:09:55,8.4,52.6
2018-12-08 13:09:59,2,53.2
2018-12-08 13:10:02,5.8,52.6
2018-12-08 13:10:06,8.2,51.5
2018-12-08 13:10:09,8.8,52.6
2018-12-08 13:10:13,1.6,52.6
2018-12-08 13:10:16,6,52.1
2018-12-08 13:10:20,6.8,53.2
2018-12-08 13:10:23,5.7,52.6
2018-12-08 13:10:26,1.9,52.6
2018-12-08 13:10:30,7.6,52.6
2018-12-08 13:10:34,8,52.6
2018-12-08 13:10:37,6.1,52.6
2018-12-08 13:10:40,1.9,53.2
2018-12-08 13:10:44,8.2,52.6
2018-12-08 13:10:47,3.8,52.6
2018-12-08 13:10:50,6.4,52.6
2018-12-08 13:10:54,4.8,52.6
2018-12-08 13:10:57,11.5,52.6
2018-12-08 13:11:01,2,53.2
2018-12-08 13:11:05,6.1,52.6
2018-12-08 13:11:08,3.5,52.6
2018-12-08 13:11:12,8.5,52.1
2018-12-08 13:11:15,3,52.6
2018-12-08 13:11:19,3.8,52.6
2018-12-08 13:11:23,9.3,53.2
2018-12-08 13:11:27,3,53.2
2018-12-08 13:11:30,5.4,53.2
2018-12-08 13:11:34,3.2,52.6
2018-12-08 13:11:38,8.3,52.6
2018-12-08 13:11:41,4.9,52.6
2018-12-08 13:11:45,5.4,52.6
2018-12-08 13:11:48,6.2,53.2
2018-12-08 13:11:52,4.6,52.6
2018-12-08 13:11:55,5.5,52.6
2018-12-08 13:11:59,4,52.6
2018-12-08 13:12:02,10.8,52.6
2018-12-08 13:12:06,4.1,52.6
2018-12-08 13:12:10,3.8,52.6
2018-12-08 13:12:13,4.7,52.6
2018-12-08 13:12:17,8.2,52.6
2018-12-08 13:12:20,4.2,52.6
2018-12-08 13:12:24,6.4,52.6
2018-12-08 13:12:27,6.2,52.6
2018-12-08 13:12:31,7.7,53.2
2018-12-08 13:12:35,2,52.6
2018-12-08 13:12:38,8.2,52.1
2018-12-08 13:12:42,4.8,52.6
2018-12-08 13:12:45,5.4,53.2
2018-12-08 13:12:49,2.3,53.2
2018-12-08 13:12:52,11.8,52.6
2018-12-08 13:12:56,4.5,52.6
2018-12-08 13:12:59,4.2,52.6
2018-12-08 13:13:03,3,52.6
2018-12-08 13:13:06,9.6,52.6
2018-12-08 13:13:09,2.6,52.6
2018-12-08 13:13:13,6,52.6
2018-12-08 13:13:16,5.2,52.6
2018-12-08 13:13:20,10.1,52.6
2018-12-08 13:13:23,3.6,52.6
2018-12-08 13:13:26,3.6,52.6
2018-12-08 13:13:29,4.7,52.6
2018-12-08 13:13:33,6.4,53.2
2018-12-08 13:13:36,5.6,52.6
2018-12-08 13:13:40,1.8,52.6
2018-12-08 13:13:44,10,52.6
2018-12-08 13:13:47,3.5,52.6
2018-12-08 13:13:51,5.9,52.6
2018-12-08 13:13:54,1.9,52.6
2018-12-08 13:13:58,9.7,52.6
2018-12-08 13:14:01,1.7,52.6
2018-12-08 13:14:05,5.3,53.7
2018-12-08 13:14:08,6.7,52.6
2018-12-08 13:14:12,9.7,52.6
2018-12-08 13:14:15,4.1,52.6
2018-12-08 13:14:19,6.3,52.6
2018-12-08 13:14:22,6.3,52.6
2018-12-08 13:14:25,6.1,52.6
2018-12-08 13:14:29,1.6,52.6
2018-12-08 13:14:33,6.9,52.6
2018-12-08 13:14:36,10.3,53.7
2018-12-08 13:14:40,3.1,52.6
2018-12-08 13:14:44,5.3,53.2
2018-12-08 13:14:47,5.5,53.2
2018-12-08 13:14:50,8.7,52.6
2018-12-08 13:25:01,22.5,48.3
2018-12-08 13:25:03,2.7,48.3
2018-12-08 13:25:06,5.9,47.8
2018-12-08 13:25:08,8.2,48.3
2018-12-08 13:25:11,2.3,47.8
2018-12-08 13:25:13,8.5,48.3
2018-12-08 13:25:16,7.4,48.3
2018-12-08 13:25:18,5.8,48.3
2018-12-08 13:25:20,5.6,47.8
2018-12-08 13:25:23,5.8,48.3
2018-12-08 13:25:25,6.1,48.9
2018-12-08 13:25:28,12.4,48.3
2018-12-08 13:25:30,1.9,48.3
2018-12-08 13:25:33,2.4,48.3
2018-12-08 13:25:35,7.2,48.3
2018-12-08 13:25:38,5.6,48.3
2018-12-08 13:25:40,7.4,48.3
2018-12-08 13:25:43,6.8,48.3
2018-12-08 13:25:45,4.8,48.3
2018-12-08 13:25:47,4.8,48.3
2018-12-08 13:25:49,8.6,48.3
2018-12-08 13:25:52,9.2,48.3
2018-12-08 13:25:54,6.2,48.3
2018-12-08 13:25:56,5.6,48.3
2018-12-08 13:25:59,2.2,48.3
2018-12-08 13:26:01,6.7,48.3
2018-12-08 13:26:04,8.6,48.3
2018-12-08 13:26:07,4.1,48.3
2018-12-08 13:26:09,6,48.9
2018-12-08 13:26:12,2.5,48.3
2018-12-08 13:26:14,3.3,48.3
2018-12-08 13:26:17,10.3,48.9
2018-12-08 13:26:19,4.3,48.9
2018-12-08 13:26:22,7.6,48.3
2018-12-08 13:26:24,4.7,48.9
2018-12-08 13:26:26,2.7,48.3
2018-12-08 13:26:29,12.3,49.4
2018-12-08 13:26:31,6.2,49.4
2018-12-08 13:26:34,2.3,48.3
2018-12-08 13:26:37,7.6,48.9
2018-12-08 13:26:39,4.8,48.3
2018-12-08 13:26:41,6.6,48.9
2018-12-08 13:26:44,9.2,48.9
2018-12-08 13:26:47,2.4,48.9
2018-12-08 13:26:49,8.7,49.4
2018-12-08 13:26:51,4.2,49.4
2018-12-08 13:26:54,3.8,48.9
2018-12-08 13:26:56,13.2,49.4
2018-12-08 13:26:58,4.9,49.4
2018-12-08 13:27:01,2.9,49.4
2018-12-08 13:27:03,8.1,49.4
2018-12-08 13:27:06,2.5,49.4
2018-12-08 13:27:08,8.2,49.4
2018-12-08 13:27:10,7.6,49.4
2018-12-08 13:27:13,2.4,49.4
2018-12-08 13:27:15,5.8,49.4
2018-12-08 13:27:18,8.6,49.4
2018-12-08 13:27:20,6,49.4
2018-12-08 13:27:22,13.1,49.4
2018-12-08 13:27:25,3.6,49.4
2018-12-08 13:27:27,2.7,49.4
2018-12-08 13:27:30,8.2,49.4
2018-12-08 13:27:33,4.6,49.4
2018-12-08 13:27:36,7.3,49.4
2018-12-08 13:27:38,7.6,49.4
2018-12-08 13:27:40,2.5,49.4
2018-12-08 13:27:43,7.2,49.4
2018-12-08 13:27:46,5.6,49.4
2018-12-08 13:27:48,7,49.4
2018-12-08 13:27:50,10.9,49.4
2018-12-08 13:27:53,4.3,49.9
2018-12-08 13:27:55,4,49.4
2018-12-08 13:27:58,8.8,49.9
2018-12-08 13:28:00,10,49.4
2018-12-08 13:28:02,7,49.4
2018-12-08 13:28:05,6.3,49.4
2018-12-08 13:28:07,3.1,49.4
2018-12-08 13:28:09,8.3,49.9
2018-12-08 13:28:12,9.4,49.4
2018-12-08 13:28:14,4.4,49.9
2018-12-08 13:28:17,9.1,50.5
2018-12-08 13:28:19,2.9,49.9
2018-12-08 13:28:21,2.3,49.4
2018-12-08 13:28:24,9.5,49.9
2018-12-08 13:28:26,8.7,49.4
2018-12-08 13:36:30,14.6,51
2018-12-08 13:36:34,12,49.9
2018-12-08 13:36:37,3.3,49.9
2018-12-08 13:36:41,3.6,49.4
2018-12-08 13:36:44,4.4,49.9
2018-12-08 13:36:47,8,49.9
2018-12-08 13:36:51,3.1,49.9
2018-12-08 13:36:54,5.4,49.4
2018-12-08 13:36:57,3.6,49.4
2018-12-08 13:37:01,9,49.4
2018-12-08 13:37:04,2.8,50.5
2018-12-08 13:37:07,4.6,49.9
2018-12-08 13:37:11,3.7,49.9
2018-12-08 13:37:14,7.9,49.9
2018-12-08 13:37:17,4.9,50.5
2018-12-08 13:37:20,4.3,50.5
2018-12-08 13:37:24,4.3,50.5
2018-12-08 13:37:27,8.2,49.9
2018-12-08 13:37:31,2.1,50.5
2018-12-08 13:37:34,5.1,49.9
2018-12-08 13:37:37,7,50.5
2018-12-08 13:37:40,11,50.5
2018-12-08 13:37:44,1.6,50.5
2018-12-08 13:37:47,7.6,50.5
2018-12-08 13:37:51,7.8,50.5
2018-12-08 13:37:54,8,50.5
2018-12-08 13:37:57,2.6,50.5
2018-12-08 13:38:01,5,50.5
2018-12-08 13:38:04,7.2,50.5
2018-12-08 13:38:07,5.9,50.5
2018-12-08 13:38:10,2.1,49.9
2018-12-08 13:38:14,7.9,50.5
2018-12-08 13:38:17,10.7,50.5
2018-12-08 13:38:20,7,50.5
2018-12-08 13:38:23,1.8,50.5
2018-12-08 13:38:27,7.2,50.5
2018-12-08 13:38:30,8.3,50.5
2018-12-08 13:38:34,6.2,50.5
2018-12-08 13:38:37,1.9,50.5
2018-12-08 13:38:40,7.4,50.5
2018-12-08 13:38:44,5.1,50.5
2018-12-08 13:38:47,4.9,50.5
2018-12-08 13:38:51,4,50.5
2018-12-08 13:38:54,10.9,50.5
2018-12-08 13:38:58,2,50.5
2018-12-08 13:39:01,7.1,50.5
2018-12-08 13:39:04,5.6,51
2018-12-08 13:39:07,10.3,51.5
2018-12-08 13:39:11,4.5,51
2018-12-08 13:39:14,6.6,51
2018-12-08 13:39:17,1.8,50.5
2018-12-08 13:39:20,10.4,50.5
2018-12-08 13:39:23,2.3,50.5
2018-12-08 13:39:27,7.9,50.5
2018-12-08 13:39:30,2.9,50.5
2018-12-08 13:39:34,10.2,50.5
2018-12-08 13:39:38,2.7,50.5
2018-12-08 13:39:41,6,50.5
2018-12-08 13:39:44,4.6,50.5
